Happiness Rank,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Year
126.0,Djibouti,Sub-Saharan Africa,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2015
127.0,Armenia,Central and Eastern Europe,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,2015
128.0,Botswana,Sub-Saharan Africa,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,2015
129.0,Myanmar,Southeastern Asia,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,2015
130.0,Georgia,Central and Eastern Europe,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,2015
131.0,Malawi,Sub-Saharan Africa,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2015
132.0,Sri Lanka,Southern Asia,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,2015
133.0,Cameroon,Sub-Saharan Africa,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,2015
134.0,Bulgaria,Central and Eastern Europe,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,2015
135.0,Egypt,Middle East and Northern Africa,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,2015
136.0,Yemen,Middle East and Northern Africa,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,2015
137.0,Angola,Sub-Saharan Africa,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,2015
138.0,Mali,Sub-Saharan Africa,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,2015
139.0,Congo,Sub-Saharan Africa,3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,2015
140.0,Comoros,Sub-Saharan Africa,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,2015
141.0,Uganda,Sub-Saharan Africa,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,2015
142.0,Senegal,Sub-Saharan Africa,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,2015
143.0,Gabon,Sub-Saharan Africa,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,2015
144.0,Niger,Sub-Saharan Africa,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,2015
145.0,Cambodia,Southeastern Asia,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,2015
146.0,Tanzania,Sub-Saharan Africa,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,2015
147.0,Madagascar,Sub-Saharan Africa,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,2015
148.0,Central African Republic,Sub-Saharan Africa,3.678,0.0785,0.0,0.06699,0.48879,0.08289,0.23835,2015
149.0,Chad,Sub-Saharan Africa,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,2015
150.0,Guinea,Sub-Saharan Africa,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,2015
151.0,Ivory Coast,Sub-Saharan Africa,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,2015
152.0,Burkina Faso,Sub-Saharan Africa,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,2015
153.0,Afghanistan,Southern Asia,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,2015
154.0,Rwanda,Sub-Saharan Africa,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,2015
155.0,Benin,Sub-Saharan Africa,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,2015
156.0,Syria,Middle East and Northern Africa,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,2015
157.0,Burundi,Sub-Saharan Africa,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,2015
158.0,Togo,Sub-Saharan Africa,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,2015
1.0,Denmark,Western Europe,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2016
2.0,Switzerland,Western Europe,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2016
3.0,Iceland,Western Europe,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2016
4.0,Norway,Western Europe,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2016
5.0,Finland,Western Europe,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2016
6.0,Canada,North America,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2016
7.0,Netherlands,Western Europe,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2016
8.0,New Zealand,Australia and New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2016
9.0,Australia,Australia and New Zealand,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2016
10.0,Sweden,Western Europe,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2016
11.0,Israel,Middle East and Northern Africa,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,2016
12.0,Austria,Western Europe,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2016
13.0,United States,North America,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2016
14.0,Costa Rica,Latin America and Caribbean,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,2016
15.0,Puerto Rico,Latin America and Caribbean,7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,2016
16.0,Germany,Western Europe,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2016
17.0,Brazil,Latin America and Caribbean,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,2016
18.0,Belgium,Western Europe,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2016
19.0,Ireland,Western Europe,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2016
20.0,Luxembourg,Western Europe,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2016
21.0,Mexico,Latin America and Caribbean,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,2016
22.0,Singapore,Southeastern Asia,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,2016
23.0,United Kingdom,Western Europe,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2016
24.0,Chile,Latin America and Caribbean,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2016
25.0,Panama,Latin America and Caribbean,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,2016
26.0,Argentina,Latin America and Caribbean,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,2016
27.0,Czech Republic,Central and Eastern Europe,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2016
28.0,United Arab Emirates,Middle East and Northern Africa,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2016
29.0,Uruguay,Latin America and Caribbean,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2016
30.0,Malta,Western Europe,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,2016
31.0,Colombia,Latin America and Caribbean,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,2016
32.0,France,Western Europe,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2016
33.0,Thailand,Southeastern Asia,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2016
34.0,Saudi Arabia,Middle East and Northern Africa,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2016
34.0,Taiwan,Eastern Asia,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2016
36.0,Qatar,Middle East and Northern Africa,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,2016
37.0,Spain,Western Europe,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2016
38.0,Algeria,Middle East and Northern Africa,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,2016
39.0,Guatemala,Latin America and Caribbean,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,2016
40.0,Suriname,Latin America and Caribbean,6.269,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,2016
41.0,Kuwait,Middle East and Northern Africa,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2016
42.0,Bahrain,Middle East and Northern Africa,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2016
43.0,Trinidad and Tobago,Latin America and Caribbean,6.168,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2016
44.0,Venezuela,Latin America and Caribbean,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2016
45.0,Slovakia,Central and Eastern Europe,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2016
46.0,El Salvador,Latin America and Caribbean,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,2016
47.0,Malaysia,Southeastern Asia,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2016
48.0,Nicaragua,Latin America and Caribbean,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2016
49.0,Uzbekistan,Central and Eastern Europe,5.987,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2016
50.0,Italy,Western Europe,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2016
51.0,Ecuador,Latin America and Caribbean,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2016
52.0,Belize,Latin America and Caribbean,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,2016
53.0,Japan,Eastern Asia,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,2016
54.0,Kazakhstan,Central and Eastern Europe,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2016
55.0,Moldova,Central and Eastern Europe,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,2016
56.0,Russian Federation,Central and Eastern Europe,5.856,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2016
57.0,Poland,Central and Eastern Europe,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2016
57.0,South Korea,Eastern Asia,5.835,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2016
59.0,Bolivia,Latin America and Caribbean,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2016
60.0,Lithuania,Central and Eastern Europe,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2016
61.0,Belarus,Central and Eastern Europe,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2016
62.0,North Cyprus,Western Europe,5.771,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,2016
63.0,Slovenia,Central and Eastern Europe,5.768,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,2016
64.0,Peru,Latin America and Caribbean,5.743,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2016
65.0,Turkmenistan,Central and Eastern Europe,5.658,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2016
66.0,Mauritius,Sub-Saharan Africa,5.648,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2016
67.0,Libya,Middle East and Northern Africa,5.615,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2016
68.0,Latvia,Central and Eastern Europe,5.56,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2016
69.0,Cyprus,Western Europe,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2016
70.0,Paraguay,Latin America and Caribbean,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2016
71.0,Romania,Central and Eastern Europe,5.528,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2016
72.0,Estonia,Central and Eastern Europe,5.517,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,2016
73.0,Jamaica,Latin America and Caribbean,5.51,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2016
74.0,Croatia,Central and Eastern Europe,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2016
75.0,Hong Kong,Eastern Asia,5.458,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,2016
76.0,Somalia,Sub-Saharan Africa,5.44,0.0,0.33613,0.11466,0.56778,0.3118,0.27225,2016
77.0,Kosovo,Central and Eastern Europe,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2016
78.0,Turkey,Middle East and Northern Africa,5.389,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2016
79.0,Indonesia,Southeastern Asia,5.314,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2016
80.0,Jordan,Middle East and Northern Africa,5.303,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2016
81.0,Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2016
82.0,Philippines,Southeastern Asia,5.279,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2016
83.0,China,Eastern Asia,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2016
84.0,Bhutan,Southern Asia,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,2016
85.0,Kyrgyzstan,Central and Eastern Europe,5.185,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2016
86.0,Serbia,Central and Eastern Europe,5.177,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2016
87.0,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93383,0.64367,0.70766,0.09511,0.0,0.29889,2016
